room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_SURVEILLANCE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,yearHosting,SYSTEM_PETS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_PATIO_BALCONY,SYSTEM_TOYS,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_MAPS_RESORT,SYSTEM_DRYER,SYSTEM_PIANO,SYSTEM_BATHTUB,SYSTEM_EV_CHARGER,SYSTEM_FIREPIT,SYSTEM_HIGH_CHAIR,SYSTEM_GYM,SYSTEM_CALENDAR
625011935264035999,4.97,quangninh,28,20.959726,107.008675,REGULAR,"Căn hộ  707, Toà A , tầm nhìn thẳng vịnh Hạ Long",entire_home,35,0,608212,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
661466834535082105,4.7,quangninh,30,20.953,107.01396,REGULAR,Căn hộ Studio Citadines view toàn cảnh Halong bay,entire_home,10,0,702965,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26895495,4.95,quangninh,24,20.94089,107.10834,REGULAR,Sống cùng gia đình bản xứ Hạ Long Lily - Phòng 203,hotel_room,110,0,755326,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
844812073863983357,4.75,quangninh,13,20.953276599773453,107.01222755195282,REGULAR,Studio đầy màu sắc với tầm nhìn ra biển trong tòa nhà 5 sao,entire_home,4,0,758683,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
930945860023036633,0.0,quangninh,7,20.96003230249999,107.00852346120011,REGULAR,Lagom Homestay,entire_home,0,0,755326,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
738658217325819429,4.89,quangninh,7,20.728786031363224,107.04404574868774,REGULAR,Phòng đôi trong nhà mộc mạc với tầm nhìn 22,private_room,37,0,684706,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
898480108188997000,0.0,quangninh,10,20.8636483,106.6591234,REGULAR,1 phòng trong căn hộ (Private room in apartment),private_room,0,0,611078,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
46812024,4.6,quangninh,17,20.95806,107.01715,REGULAR,Homestay Thủy Hạ Long,entire_home,20,0,627647,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
35620788,5.0,quangninh,30,20.95296,107.08422,REGULAR,Không Gian Ẩn Hạ Long - The Cellist,private_room,18,0,593412,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
794006918111373560,5.0,quangninh,28,20.95742,107.00803,REGULAR,Green Hạ Long Homestay,entire_home,6,0,627647,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
