room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_WORKSPACE,SYSTEM_SURVEILLANCE,SYSTEM_VIEW_OCEAN,SYSTEM_ELEVATOR,SYSTEM_BEACH,SYSTEM_VIEW_CITY,SYSTEM_BATHTUB,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_FLOWER,SYSTEM_BREAKFAST,isSuperHost,isVerified,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_LOCK_ON_DOOR,SYSTEM_GOLF,SYSTEM_REFRIGERATOR,SYSTEM_HAIRDRYER
32057408,4.62,quangninh,8,20.77284,106.98305,REGULAR,Chalet một phòng ngủ tại nhà nghỉ Cát Bà,private_room,13,0,1753503,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
897766131961172692,0.0,quangninh,25,20.960396605575568,107.07058608888549,REGULAR,May homestay,entire_home,0,0,1772354,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
812201874865402784,4.25,quangninh,21,20.95364127006576,107.02303140435181,REGULAR,Căn hộ 3 phòng ngủ view biển,entire_home,4,0,1714119,7.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
587227403643662077,0.0,quangninh,17,20.960142,107.008026,REGULAR,Tonkin1 -1 Bed Room-Nice View- Kitchen-HaLong Bay,entire_home,0,0,1760801,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
644617059615872558,4.75,quangninh,18,20.96007,107.0091,REGULAR,Tonkin2-Hill-SeaView-1BedRoom-Near SunWorld-HaLong,entire_home,8,0,1792166,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
725654864619456764,5.0,quangninh,12,20.85151,106.68763,REGULAR,Căn hộ dịch vụ 3 phòng ngủ (1206) tại SHP Plaza,entire_home,13,0,1711766,6.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
930089207920886910,0.0,quangninh,20,20.953654858191687,107.00249578803778,REGULAR,Luxury sea view 1br Alacarte 5*,entire_home,0,0,1690028,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
937229234804481968,0.0,quangninh,10,20.95974898114668,107.00826714603272,REGULAR,Căn hộ 2 ngủ view biển Hạ Long,entire_home,0,0,1720341,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
47571214,4.33,quangninh,30,20.95728,107.00623,REGULAR,* Homestay Hạ Long @ tầm nhìn ra vịnh Hạ Long - 3 phòng ngủ,entire_home,3,0,1700354,9.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
854597889672727104,0.0,quangninh,30,20.95296,107.00205,REGULAR,Luxury Ctadin  Hạ Long 1908,entire_home,0,0,1700354,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
887449362842137945,0.0,quangninh,20,20.95199,107.02356,REGULAR,Journey 10 - 2 Brs - Pool View,entire_home,0,0,1828908,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
891457733310769425,0.0,quangninh,24,20.953223645687665,107.0053493231535,REGULAR,Alex Homestay Ha Long,entire_home,0,0,1643295,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
878550725944403763,0.0,quangninh,28,20.9484912,107.1016555,REGULAR,A lovely house 2rooms 1 living room 1 beautygarden,entire_home,0,0,1749000,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
845449163726223940,0.0,quangninh,30,20.9567,106.99888,REGULAR,Citadines Marina Halong 1408,entire_home,0,0,1775671,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
