room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_BATHTUB,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_EV_CHARGER,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HIGH_CHAIR,SYSTEM_HAIRDRYER,SYSTEM_PETS,SYSTEM_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_BREAKFAST,SYSTEM_REFRIGERATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPIT,SYSTEM_MAPS_RESORT
875749065516043133,0.0,quangninh,12,20.95803,107.00772,REGULAR,"Homestay siêu xinh xắn, mới tinh",entire_home,0,0,1432118,9.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
912596637180914518,0.0,quangninh,9,20.82016,106.68588,REGULAR,Căn hộ 2 ngủ phong cách Miami Vinhomes Marina,entire_home,0,0,1474007,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
935647807258736287,0.0,quangninh,13,20.971525582228292,107.04420045568168,REGULAR,Căn hộ cao cấp À LaCatre Hạ Long,entire_home,0,0,1402809,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
936562655349662788,0.0,quangninh,20,20.949816680532145,107.07422280239933,REGULAR,Homestay 2N Vbiển 1209 Sapphire,entire_home,0,0,1510699,6.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
907478713433134955,0.0,quangninh,8,20.953151869903614,107.00202818482103,REGULAR,ALaCarte Ha Long Bay - 5 star King Bed Sea View,entire_home,0,0,1549034,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38331293,4.73,quangninh,30,20.94877,107.07217,REGULAR,RỘNG 4BR/Apt [[sq]] CITY&SEA Xem [[sq]] 1 phút đi bộ RA BIỂN,entire_home,88,0,1425000,10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29493868,5.0,quangninh,30,20.805569756387527,107.03937280923128,REGULAR,Phòng riêng cho gia đình cổ,entire_home,5,0,1582579,5.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41807911,5.0,quangninh,27,20.94833,107.0713,REGULAR,Side-Seaview Family Room - 100m To Seacoast,private_room,3,0,1563412,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
648806390260458750,0.0,quangninh,28,20.95882,106.99444,REGULAR,Căn hộ cao cấp 2 phòng ngủ Greenbay Garden,entire_home,0,0,1472118,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
767008511255784861,0.0,quangninh,17,20.96028,107.00761,REGULAR,"Căn hộ Bãi Cháy, Quảng Ninh - 4some1.Studio",entire_home,0,0,1597648,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
