room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_WORKSPACE,SYSTEM_EV_CHARGER,SYSTEM_POOL,SYSTEM_FLOWER,SYSTEM_SMOKING_ALLOWED,SYSTEM_DRYER,SYSTEM_NO_DETECTOR_SMOKE,reviewCount,SYSTEM_PATIO_BALCONY,SYSTEM_BREAKFAST,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_MAPS_RESORT,SYSTEM_PETS,SYSTEM_SAUNA,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_CITY,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_CALENDAR
785454575483931678,0.0,quangninh,27,20.96473,107.05163,REGULAR,Beverly Hills Hạ Long - Ngắm khu phức hợp nghỉ dưỡng,private_room,0,2567648,2,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0,2.0,2.0,2.0,2.0
586810359764564844,0.0,quangninh,11,20.97096,107.76534,REGULAR,"Hoàng Trung Hotel , Khách sạn 3 sao Cô Tô",private_room,0,2450000,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
784463637718714733,0.0,quangninh,30,20.965247358937777,107.05108754458557,REGULAR,Khu nghỉ dưỡng Beverly Hills Hạ Long #TT7-29 Ban công,private_room,0,2567648,2,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0,2.0,2.0,2.0,2.0
624181086197900496,0.0,quangninh,17,20.957628,107.01368,REGULAR,Căn hộ 3PN có bể bơi phòng ngủ view thành phố,entire_home,0,2434511,6,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0,2.0,2.0,2.0,2.0
815422213130871414,0.0,quangninh,5,20.8449115,106.6880841,REGULAR,phòng gia đình hoặc nhóm đoàn,entire_home,0,2509448,6,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
559705814987057794,0.0,quangninh,5,20.95185,107.00269,REPRESENTATIVE,Ông vua điều hành Citadines Marina Halong,entire_home,0,2412094,2,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
793280684447956817,0.0,quangninh,30,20.9643115,107.0529861,REGULAR,Beverly Hills Hạ Long Resort #TT2-10,private_room,0,2497039,2,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
28537087,4.8,quangninh,29,20.92745,106.99189,REGULAR,Chuối & Hoa hồng - Phòng cho 8 người,private_room,0,2427908,8,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,5,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,7,1.0,2.0,2.0,2.0
21913637,0.0,quangninh,11,20.8741,107.49404,REGULAR,Sống cùng gia đình bản xứ sinh thái Quan Lan,entire_home,0,2510589,14,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
30093167,0.0,quangninh,18,20.95167,107.02516,REGULAR,Hướng nhìn ra biển căn hộ 1204C,entire_home,0,2510589,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
732156465712157005,0.0,quangninh,7,21.53539,107.96421,REPRESENTATIVE,Deluxe Twin - Khách sạn Sunshine Mong Cái,private_room,0,2532000,2,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,1.0,1.0,1.0
559850384981573557,0.0,quangninh,5,20.9528,107.01212,REPRESENTATIVE,Studio Deluxe của  Citadines Marina Halong,entire_home,0,2511062,2,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
588940982861468769,0.0,quangninh,6,20.97276,107.76555,REGULAR,Điều hành hai tầng - KHÁCH SẠN HOÀNG TRUNG,private_room,0,2450000,4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
38714520,0.0,quangninh,1,20.82014,106.70108,REGULAR,Căn hộ 2 phòng ngủ - Zen Riverside Hải Phòng,hotel_room,0,2500000,4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,1.0,2.0
30913210,0.0,quangninh,30,20.95844,107.00634,REGULAR,Cảnh quan vịnh đặc biệt - Cảng đóng - Căn hộ 2BR,entire_home,0,2519060,4,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
27419784,0.0,quangninh,18,20.95166,107.02364,REGULAR,Đại dương trong tầm mắt - Sống cùng gia đình bản xứ Hạ Long,entire_home,0,2510589,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
30093285,0.0,quangninh,18,20.95347,107.02481,REGULAR,Homestay Ha Long Newlife Tower 3 phòng ngủ,entire_home,0,2516236,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0
