room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_JACUZZI,SYSTEM_LUGGAGE_DROP,SYSTEM_BATHTUB,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BOAT_SAIL,SYSTEM_EV_CHARGER,SYSTEM_REFRIGERATOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST,SYSTEM_CABLE,SYSTEM_SAUNA,SYSTEM_FIREPLACE
737364285871658488,4.96,quangninh,19,20.732902817396376,107.04589008022965,REGULAR,Lynh 's Villa - 1 phòng ngủ đôi có ban công,private_room,26,0,1369412,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
771200760247239631,0.0,quangninh,14,20.95345,107.00187,REGULAR,KhanhPhong Apartment Alacarte Hạ Long,entire_home,0,0,1290824,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
729313291644193454,0.0,quangninh,13,20.960040364897736,107.06896535364233,REGULAR,Suri Homestay Green Diamond Ha Long,private_room,0,0,1390495,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
644740390203152451,5.0,quangninh,16,20.950825735809072,107.0989376204684,REGULAR,Entire floor for 7 people at the city center,private_room,7,0,1300942,8.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
891733142118418005,0.0,quangninh,29,20.95339019426204,107.00244817882776,REGULAR,Căn Hộ À la Carte view biển,private_room,0,0,1323765,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
903154782507271219,0.0,quangninh,11,20.81982774713826,106.68689601123333,REGULAR,Căn hộ Vinhome tuyệt đẹp,private_room,1,0,1369412,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28478266,5.0,quangninh,30,20.95898,107.00648,REGULAR,Mercury House Hạ Long#Gần thực hiện tour du lịch Day Cruise,entire_home,34,0,1109224,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
595900105340787112,4.76,quangninh,8,20.8457,106.70861,REGULAR,Căn hộ rực rỡ với 2 phòng ngủ và ban công,entire_home,17,0,1213459,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
883109084187037327,0.0,quangninh,13,20.95516,107.00376,REGULAR,A La Carte Hạ Long căn hộ 1 phòng ngủ,entire_home,0,0,1392921,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
919797253268723813,0.0,quangninh,21,20.8641292,106.6578233,REGULAR,Jun's Apartment & Homestay,entire_home,0,0,1253012,8.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
899012582334936829,0.0,quangninh,18,20.948353205855682,107.07230933010578,REGULAR,Oceanview*POOL*2Br*Netflix*kitchen*washer,entire_home,0,0,1335437,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41021586,4.89,quangninh,27,20.751714568666234,106.99494729076535,REGULAR,J3 Superior Room - JOYSTAY,private_room,9,0,1369412,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
