room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_WORKSPACE,reviewCount,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_PETS,SYSTEM_BOAT_SAIL,SYSTEM_EV_CHARGER,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_SAUNA,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_GYM,SYSTEM_VIEW_CITY,SYSTEM_PATIO_BALCONY,SYSTEM_SMOKING_ALLOWED
905507911104345481,0.0,quangninh,30,20.958546652798283,107.03558586537838,REGULAR,Just4U Homestay Ha Long Bay,entire_home,0,2093410,6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
877231687092067346,0.0,quangninh,12,20.9536,107.00138,REGULAR,căn hộ studio view biển 5 sao,entire_home,0,2063104,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
37643855,0.0,quangninh,10,20.952854651742825,107.02407985925674,REGULAR,Căn hộ 3 phòng ngủ view biển,entire_home,0,2054119,7,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
27923137,5.0,quangninh,23,20.95914,107.00857,REGULAR,Căn hộ Bayview🏖 ️GreenbayPremium🏖️HaLong 3Br,entire_home,0,2040613,8,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
35752911,4.0,quangninh,30,20.95263,107.02396,REGULAR,Homestay 0909A- Newlife Hạ Long,entire_home,0,2168236,10,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29024587,0.0,quangninh,18,20.95136,107.02491,REGULAR,Căn hộ view biển 1208C - Homestay (Giá tốt nhất),entire_home,0,2099766,4,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
888291986931140239,0.0,quangninh,9,20.95068,107.07233,REGULAR,2BR Apart-Sea view 1 min to Sea,entire_home,0,2085300,6,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42389254,5.0,quangninh,30,20.96599,107.0534,REGULAR,3 Phòng riêng ở bến cảng tai nhà và bãi biển tuyệt vời,private_room,0,2059766,10,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,5,2.0,0.0,2.0,1.0,1.0,4,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
33651125,0.0,quangninh,16,20.95206,107.02439,REGULAR,Căn hộ cao cấp Vịnh Hạ Long ( Ocean View),entire_home,0,2076942,4,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
32057169,0.0,quangninh,20,20.77265,106.98311,REGULAR,Chalet hai phòng ngủ tại đảo Cát Bà,private_room,0,2158135,4,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
33535748,0.0,quangninh,11,20.95936,107.00856,REGULAR,3br apartment with sea view from all rooms,entire_home,0,2105413,8,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
757765336994885384,0.0,quangninh,18,20.95826,107.0037,REGULAR,Căn hộ ấm cúng,entire_home,0,2102048,6,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
853962757854368431,0.0,quangninh,5,20.9524598,107.0245093,REGULAR,Homestay Newlife- căn hộ 2PN,entire_home,0,2099766,4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29857588,4.67,quangninh,30,20.95401,107.02465,REGULAR,2510 A  - Căn hộ có tầm nhìn ra biển tuyệt đẹp,entire_home,0,2054119,6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31295219,0.0,quangninh,17,20.952,107.02331,REGULAR,Bán tốt nhất - Căn hộ cao cấp Vịnh Hạ Long,entire_home,0,2122589,5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
788878882924613958,5.0,quangninh,18,20.85048,106.68587,REGULAR,Căn hộ 3 phòng ngủ tại SHP plaza (1806) - 12 Lachername,entire_home,0,2054119,6,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42938082,0.0,quangninh,21,20.95695,107.00603,REGULAR,Up Home - 2610 Tháp B - New Life Tower Bãi Cháy,entire_home,0,2156825,8,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
757728982341868894,0.0,quangninh,19,20.95419,107.02554,REGULAR,Căn hộ cao cấp view biển,private_room,0,2131148,6,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0,2.0,2.0,1.0,0.0,1.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0
37300276,0.0,quangninh,26,20.95857,107.00585,REGULAR,HaLongOceanview 3Br Apt w  ban công⛵ ngày lễ hoàn hảo,entire_home,0,2168236,8,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
36818580,0.0,quangninh,19,20.92578,106.97664,REGULAR,Tranquil cabin *** relaxing in Halong Bay 2d1n,private_room,0,2168236,2,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
588979952614587221,0.0,quangninh,5,20.971651,107.764938,REGULAR,Twin Deluxe,private_room,0,2107000,2,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
716503414425566124,0.0,quangninh,6,20.957833985662827,107.08017698980595,REGULAR,Hạ Long Bay View Panorama,entire_home,0,2102048,4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
